,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
55,0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
56,0,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
57,0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
58,0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
59,0,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
60,0,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
61,0,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
62,0,0.42,0.33,0.125,0.463,0.186,0.11,0.145,10
63,0,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12
64,0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
65,0,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
66,0,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
67,0,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,7
68,0,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
69,0,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
70,0,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
71,0,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,8
72,0,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
73,0,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9
74,0,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11
75,0,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7
76,0,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
77,0,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
78,0,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
79,0,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13
80,0,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
81,0,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
82,0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
83,0,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8
84,0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
85,0,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
86,0,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
87,0,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8
88,0,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
89,0,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
90,0,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
91,0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
92,0,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11
93,0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
94,0,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9
95,0,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
96,0,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
97,0,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
98,0,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
99,0,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
100,0,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
101,0,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
102,0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
103,0,0.45,0.35,0.135,0.56,0.231,0.137,0.145,13
104,0,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13
105,0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
106,0,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
107,0,0.45,0.36,0.11,0.447,0.203,0.082,0.13,12
108,0,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
109,0,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
110,0,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8
111,0,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
112,0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16
113,0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
114,0,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10
115,0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
116,0,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
117,0,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13
118,0,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
119,0,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
120,0,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10
121,0,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
122,0,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
123,0,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6
124,0,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
125,0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
126,0,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
127,0,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
128,0,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
129,0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
130,0,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
131,0,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
132,0,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
133,0,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
134,0,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
135,0,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
136,0,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8
137,0,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
138,0,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
139,0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
140,0,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
141,0,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,13
142,0,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
143,0,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
144,0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
145,0,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
146,0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
147,0,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
148,0,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8
149,0,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
150,0,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
151,0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
152,0,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
153,0,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
154,0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
155,0,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9
156,0,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
157,0,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
158,0,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
159,0,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
160,0,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
161,0,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
162,0,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
163,0,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
164,0,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
165,0,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
166,0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
167,0,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
168,0,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13
169,0,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12
170,0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7
171,0,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
172,0,0.475,0.38,0.145,0.57,0.167,0.118,0.187,11
173,0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
174,0,0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
175,0,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
176,0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15
177,0,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
178,0,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
179,0,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
180,0,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12
181,0,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
182,0,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12
183,0,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
184,0,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10
185,0,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
186,0,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14
187,0,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
188,0,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
189,0,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
190,0,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13
191,0,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15
192,0,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
193,0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
194,0,0.485,0.4,0.155,0.731,0.236,0.183,0.255,11
195,0,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
196,0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
197,0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
198,0,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
199,0,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
200,0,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
201,0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
202,0,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
203,0,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
204,0,0.49,0.38,0.13,0.539,0.229,0.1355,0.165,12
205,0,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
206,0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
207,0,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
208,0,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
209,0,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
210,0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
211,0,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
212,0,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
213,0,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
214,0,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11
215,0,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
216,0,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
217,0,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
218,0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
219,0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
220,0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
221,0,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11
222,0,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15
223,0,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
224,0,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
225,0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
226,0,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
227,0,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13
228,0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
229,0,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10
230,0,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
231,0,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10
232,0,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
233,0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
234,0,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
235,0,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13
236,0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20
237,0,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18
238,0,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
239,0,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,14
240,0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
241,0,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
242,0,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
243,0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
244,0,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12
245,0,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
246,0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
247,0,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
248,0,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
249,0,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7
250,0,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
251,0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
252,0,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
253,0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15
254,0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
255,0,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9
256,0,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
257,0,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11
258,0,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
259,0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17
260,0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
261,0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
262,0,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8
263,0,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
264,0,0.51,0.37,0.21,1.183,0.508,0.292,0.343,9
265,0,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
266,0,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,13
267,0,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
268,0,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
269,0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
270,0,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,12
271,0,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10
272,0,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
273,0,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
274,0,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
275,0,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
276,0,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
277,0,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9
278,0,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12
279,0,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10
280,0,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
281,0,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
282,0,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16
283,0,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
284,0,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
285,0,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
286,0,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
287,0,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11
288,0,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
289,0,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
290,0,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
291,0,0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8
292,0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15
293,0,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
294,0,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,15
295,0,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
296,0,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11
297,0,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
298,0,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,11
299,0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
300,0,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
301,0,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
302,0,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10
303,0,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12
304,0,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,10
305,0,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14
306,0,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
307,0,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,13
308,0,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10
309,0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16
310,0,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11
311,0,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7
312,0,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
313,0,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
314,0,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11
315,0,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9
316,0,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
317,0,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
318,0,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
319,0,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7
320,0,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11
321,0,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
322,0,0.525,0.41,0.15,0.708,0.274,0.151,0.25,12
323,0,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
324,0,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10
325,0,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
326,0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
327,0,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
328,0,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
329,0,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15
330,0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
331,0,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,12
332,0,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
333,0,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10
334,0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
335,0,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12
336,0,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10
337,0,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9
338,0,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
339,0,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12
340,0,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
341,0,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
342,0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
343,0,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
344,0,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19
345,0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
346,0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
347,0,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
348,0,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
349,0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
350,0,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
351,0,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6
352,0,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13
353,0,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
354,0,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8
355,0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
356,0,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
357,0,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
358,0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
359,0,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9
360,0,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
361,0,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
362,0,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13
363,0,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
364,0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16
365,0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
366,0,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9
367,0,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10
368,0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
369,0,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
370,0,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
371,0,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8
372,0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16
373,0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10
374,0,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8
375,0,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
376,0,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8
377,0,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10
378,0,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9
379,0,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14
380,0,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9
381,0,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,9
382,0,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
383,0,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
384,0,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9
385,0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
386,0,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17
387,0,0.54,0.44,0.16,1.0905,0.391,0.2295,0.355,15
388,0,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
